course_id,class_id,week_number,date,class_name
HIST101,HIST101-C01,1,2026-09-21,Class 1: The Nile and the Origins of Egyptian Civilization
HIST101,HIST101-C02,1,2026-09-24,Class 2: Pharaohs and the Idea of Divine Kingship
HIST101,HIST101-C03,2,2026-09-28,"Class 3: Pyramids, Tombs, and the Afterlife"
HIST101,HIST101-C04,2,2026-10-01,"Class 4: Gods, Temples, and Religious Practice"
HIST101,HIST101-C05,3,2026-10-05,"Class 5: Hieroglyphs, Scribes, and Record Keeping"
HIST101,HIST101-C06,3,2026-10-08,Class 6: Daily Life along the Nile
HIST101,HIST101-C07,4,2026-10-12,"Class 7: Trade, Diplomacy, and Egypt's Neighbors"
HIST101,HIST101-C08,4,2026-10-15,"Class 8: Women, Family, and Social Structure"
HIST101,HIST101-C09,5,2026-10-19,Class 9: The New Kingdom and Imperial Egypt
HIST101,HIST101-C10,5,2026-10-22,"Class 10: Decline, Conquest, and the Legacy of Ancient Egypt"
HIST102,HIST102-C01,1,2026-09-21,Class 1: The Geography and Early Cultures of Greece
HIST102,HIST102-C02,1,2026-09-24,Class 2: The Rise of the Polis
HIST102,HIST102-C03,2,2026-09-28,Class 3: Athens and the Development of Democracy
HIST102,HIST102-C04,2,2026-10-01,Class 4: Sparta and Militarized Society
HIST102,HIST102-C05,3,2026-10-05,"Class 5: Greek Myth, Religion, and Ritual"
HIST102,HIST102-C06,3,2026-10-08,Class 6: The Persian Wars
HIST102,HIST102-C07,4,2026-10-12,Class 7: The Peloponnesian War
HIST102,HIST102-C08,4,2026-10-15,Class 8: Philosophy from Socrates to Aristotle
HIST102,HIST102-C09,5,2026-10-19,"Class 9: Art, Architecture, and the Classical Ideal"
HIST102,HIST102-C10,5,2026-10-22,"Class 10: Family, Slavery, and Everyday Life"
HIST102,HIST102-C11,6,2026-10-26,Class 11: Alexander the Great and Macedonian Expansion
HIST102,HIST102-C12,6,2026-10-29,Class 12: The Hellenistic World and Greek Legacy
HIST103,HIST103-C01,1,2026-09-21,Class 1: Origins of Rome and the Early Republic
HIST103,HIST103-C02,1,2026-09-24,Class 2: Republican Government and Roman Citizenship
