course_id,name,short_description,long_description,number_of_classes,number_of_weeks,instructor_id,image_url
HIST101,"Ancient Egypt: Pharaohs, Pyramids, and Daily Life","Explore the rise of ancient Egyptian civilization, pharaohs and religion, monumental architecture, writing, trade, and everyday life along the Nile.","Travel through more than three thousand years of ancient Egyptian history, from the first kingdoms along the Nile to the age of pharaohs and foreign conquest. The course examines royal power, religion, burial practices, writing, trade, family life, and monumental architecture while using archaeological and written evidence to explore how ordinary people as well as rulers experienced Egyptian society.",10,5,INS01,https://commons.wikimedia.org/wiki/Special:Redirect/file/Rosetta%20Stone%20at%20the%20British%20Museum.jpg
HIST102,"Ancient Greece: Polis, Myth, and Democracy","Learn how Greek city-states developed, how democracy emerged in Athens, and how warfare, philosophy, mythology, art, and daily life shaped the ancient Greek world.","Explore the diverse communities of the ancient Greek world and the political, cultural, and military developments that connected them. Students will examine Athens and Sparta, democracy and citizenship, mythology and religion, war with Persia, the Peloponnesian conflict, philosophy, art, slavery, and the expansion of Greek culture under Alexander and his successors.",12,6,INS02,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Parthenon,%20Greece.jpg"
HIST103,The Roman Empire: Republic to Imperial Power,"Trace Rome from republic to empire while studying conquest, political institutions, emperors, citizenship, religion, urban life, and the causes of transformation in late antiquity.","Follow Rome's transformation from a small republic into a vast Mediterranean empire and then into the politically fragmented world of late antiquity. The course focuses on republican institutions, conquest, civil war, emperors, citizenship, the army, urban life, slavery, religion, Christianity, trade, and the long-term legacy of Roman law, government, and culture.",14,7,INS02,https://commons.wikimedia.org/wiki/Special:Redirect/file/Colosseum%20Rome%20.jpg
HIST104,"Medieval Europe: Kingdoms, Faith, and Society","Examine medieval kingdoms, feudal relationships, Christianity, castles and warfare, towns and trade, the Crusades, the Black Death, and changing social structures.","Investigate the societies that emerged in Europe after the western Roman Empire and trace their development through the later Middle Ages. Topics include kingship, lordship, rural life, the medieval Church, monasteries, towns, trade, warfare, the Crusades, universities, family and work, the Black Death, and the social and political changes that reshaped Europe.",12,6,INS03,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bayeux%20Tapestry%20Scene%2001%20(cropped).jpg
HIST105,"Renaissance Europe: Art, Ideas, and Reformation","Study the Renaissance through humanism, art, science, printing, political change, and religious reform, while exploring how new ideas reshaped European society.","Examine the Renaissance as a period of artistic experimentation, intellectual revival, political competition, and religious upheaval. Students will study humanism, patronage, painting and sculpture, printing, scientific inquiry, urban politics, the Protestant Reformation, Catholic reform, and the ways Renaissance ideas traveled beyond the Italian city-states.",10,5,INS03,"https://commons.wikimedia.org/wiki/Special:Redirect/file/Leonardo%20da%20Vinci%20-%20Mona%20Lisa%20(Louvre,%20Paris).jpg"
HIST106,"The Age of Exploration: Oceans, Empires, and Encounter","Follow major voyages across the Atlantic and Indian Oceans and examine navigation, trade, colonization, cultural encounters, conquest, and the creation of early global networks.","Study the voyages and encounters that connected oceans and continents more intensively from the fifteenth century onward. The course covers navigation, Portuguese and Spanish expansion, Atlantic conquest, Indigenous resistance, the Columbian Exchange, slavery, missionaries, Indian Ocean commerce, colonial societies, and the emergence of global networks linking distant peoples and economies.",12,6,INS01,"https://commons.wikimedia.org/wiki/Special:Redirect/file/World%20of%20explorers,%2016th%20century.jpg"
HIST107,"The Age of Revolutions: Liberty, Empire, and Citizenship","Compare the American, French, Haitian, and Latin American revolutions and investigate changing ideas about rights, citizenship, slavery, monarchy, and political authority.","Compare the major political revolutions that transformed ideas of sovereignty, rights, citizenship, slavery, and empire across the Atlantic world. Students will examine the American, French, Haitian, and Latin American revolutions alongside Enlightenment thought, constitutional debates, nationalism, women's political participation, emancipation, and the unresolved inequalities produced by revolutionary change.",14,7,INS04,https://commons.wikimedia.org/wiki/Special:Redirect/file/Storming%20the%20bastille.jpg
HIST108,"The Industrial Revolution: Machines, Cities, and Labor","Explore how mechanization transformed production, transportation, cities, labor, family life, class relations, capitalism, and the global economy from the eighteenth century onward.","Explore how industrialization changed work, production, transportation, cities, family life, and the global economy. Beginning with Britain, the course traces steam power, factories, railways, urban growth, wage labor, capitalism, labor movements, gender and child labor, environmental consequences, and the spread of industrial systems into Europe and beyond.",10,5,INS04,https://commons.wikimedia.org/wiki/Special:Redirect/file/WattsSteamEngine.jpeg
HIST109,"World War I: Empires, Trenches, and Total War","Understand the origins and course of the First World War, trench warfare, technology, colonial participation, civilian experiences, propaganda, and the political consequences of the conflict.","Examine the First World War as a global conflict shaped by alliances, empires, mass armies, industrial technology, and civilian mobilization. The course follows the war across multiple fronts while considering trench warfare, colonial troops, propaganda, the home front, revolution in Russia, American intervention, the armistice, the Treaty of Versailles, and the conflict's political and cultural aftermath.",12,6,INS02,https://commons.wikimedia.org/wiki/Special:Redirect/file/World%20War%20I%20trenches%20(12297910843).jpg
HIST110,World War II: A Global History,"Study the causes, major theaters, occupation, resistance, genocide, home fronts, military strategy, and global consequences of the Second World War.","Study the Second World War across Europe, Africa, Asia, and the Pacific, connecting military campaigns to occupation, genocide, resistance, and civilian experience. Students will explore fascism, the Holocaust, major theaters of war, wartime economies, strategic bombing, D-Day, the Soviet advance, the atomic bombings, postwar trials, displacement, reconstruction, decolonization, and the beginnings of the Cold War.",16,8,INS03,https://commons.wikimedia.org/wiki/Special:Redirect/file/Normandy%20landings.jpg
HIST111,"The Silk Roads: Trade, Religion, and Exchange","Explore the overland and maritime networks connecting Asia, Africa, and Europe through merchants, empires, migration, technologies, religions, disease, and cultural exchange.","Explore the Silk Roads as a changing network of overland and maritime routes rather than a single road connecting East and West. The course follows merchants, pilgrims, diplomats, empires, and migrants across Eurasia while examining the movement of silk, horses, spices, technologies, religions, artistic traditions, scientific knowledge, and disease. Students will also consider how geography, political power, and local exchange shaped long-distance connectivity.",10,5,INS01,https://commons.wikimedia.org/wiki/Special:Redirect/file/A%20Caravan%20in%20the%20Gobi%20Desert.jpg
HIST112,"Empires of South Asia: Sultanates, Mughals, and Colonial Encounters","Study major South Asian states and empires, with emphasis on political rule, religious and cultural exchange, Mughal society and architecture, regional powers, and early European expansion.","Survey major states and empires in South Asia from the medieval sultanates through Mughal rule and the expansion of European trading companies. The course examines political authority, military change, religion, court culture, architecture, agriculture, cities, regional powers, commercial networks, and the shifting relationships that eventually contributed to the rise of colonial rule.",12,6,INS04,"https://commons.wikimedia.org/wiki/Special:Redirect/file/The%20Taj%20Mahal%20,%20Agra.jpg"
